,Unnamed: 0,post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
0,0,47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,180,44,zixuanlimit,2026-04-08 00:05:25,0.2430939226519337,False
1,1,47679121,Project Glasswing: Securing critical software for the AI era,worldnews,33,2,Ryan5453,2026-04-08 00:05:25,0.058823529411764705,False
2,2,47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,566,180,sam-bee,2026-04-08 00:05:25,0.31746031746031744,True
3,3,47675625,Cloudflare targets 2029 for full post-quantum security,technology,160,49,ilreb,2026-04-08 00:05:25,0.30434782608695654,False
4,4,47664836,AI helps add 10k more photos to OldNYC,technology,45,7,evakhoury,2026-04-08 00:05:25,0.15217391304347827,False
5,5,47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,70,18,rryan,2026-04-08 00:05:25,0.2535211267605634,False
6,6,47673005,We found an undocumented bug in the Apollo 11 guidance computer code,technology,321,161,henrygarner,2026-04-08 00:05:25,0.5,True
7,7,47675013,Dropping Cloudflare for Bunny.net,technology,305,148,shintoist,2026-04-08 00:05:25,0.48366013071895425,True
8,8,47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,125,24,intofarlands,2026-04-08 00:05:25,0.19047619047619047,False
9,9,47672295,Every GPU That Mattered,technology,270,153,jonbaer,2026-04-08 00:05:25,0.5645756457564576,True
10,10,47616475,Haunting Photos Show the Aftermath of the Kursk Submarine Disaster in 2000,entertainment,128,36,mooreds,2026-04-08 00:05:25,0.27906976744186046,False
11,11,47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,16,6,ashish004,2026-04-08 00:05:25,0.35294117647058826,False
12,12,47629021,Global Physics Photowalk: 2025 winners revealed,science,21,1,ibobev,2026-04-08 00:05:25,0.045454545454545456,False
13,13,47672318,Blackholing My Email,technology,143,22,semyonsh,2026-04-08 00:05:25,0.1527777777777778,False
14,14,47672778,Breaking the console: a brief history of video game security,sports,80,24,sprado,2026-04-08 00:05:25,0.2962962962962963,False
15,15,47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,80,11,Sean-Der,2026-04-08 00:05:25,0.13580246913580246,False
16,16,47673541,AI may be making us think and write more alike,technology,196,202,giuliomagnifico,2026-04-08 00:05:25,1.0253807106598984,True
17,17,47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,200,176,Zm44,2026-04-08 00:05:25,0.8756218905472637,True
18,18,47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,109,17,ductionist,2026-04-08 00:05:25,0.15454545454545454,False
19,20,47674950,An AI robot in my home,technology,10,4,kukanani,2026-04-08 00:05:25,0.36363636363636365,False
20,21,47676521,Claude Code is locking people out for hours,technology,199,266,sh1mmer,2026-04-08 00:05:25,1.33,True
21,22,47627217,Running Out of Disk Space in Production,science,120,63,romes,2026-04-08 00:05:25,0.5206611570247934,False
22,23,47678747,This Spillway Failed on Purpose [video],technology,6,0,Wilsoniumite,2026-04-08 00:05:25,0.0,False
23,24,47662945,Show HN: GovAuctions lets you browse government auctions at once,entertainment,304,86,player_piano,2026-04-08 00:05:25,0.2819672131147541,True
24,25,47641528,Apollo Guidance Computer restoration videos,technology,87,11,mariuz,2026-04-08 00:05:25,0.125,False
25,26,47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,442,193,MattHart88,2026-04-08 00:05:25,0.435665914221219,True
26,27,47638498,Show HN: AdaShape-3D modeler for intuitive 3D printing parts / Windows 11,entertainment,27,24,fsloth,2026-04-08 00:05:25,0.8571428571428571,False
